hall_name,hall_url,item_name,detail_url,allergens_inline,label_item_name,nutrition_block,ingredients_text
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Cereal, Crispy Rice",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300099*1,,"Cereal, Crispy Rice","Nutrition Facts
Serving Size
1 CUP
Calories
103
Calories from Fat
2.6
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0.3g
0%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
154.5mg
7%
Amount/Serving
%DV*
Tot. Carb.
23.2g
7%
Dietary Fiber
0g
0%
Sugars
2.6g
Includes
2.6g Added Sugars
0%
Protein
1.9g
Vitamin D
-
0.8mcg - 0%
Calcium
-
0mg - 0%
Iron
-
8.1mg - 101%
Potassium
-
25.8mg - 1%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Cereal, Fruity Pebbles",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300031*3%2f4,,"Cereal, Fruity Pebbles","Nutrition Facts
Serving Size
3/4 CUP
Calories
110
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
1g
2%
Sat. Fat
1g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
139.9mg
6%
Amount/Serving
%DV*
Tot. Carb.
23g
7%
Dietary Fiber
0g
0%
Sugars
9g
Includes
0g Added Sugars
0%
Protein
1g
Vitamin D
-
mcg - 0%
Calcium
-
0mg - 0%
Iron
-
1.8mg - 22%
Potassium
-
0mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Cereal, Rice Chex",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300040*3%2f4,,"Cereal, Rice Chex","Nutrition Facts
Serving Size
3/4 CUP
Calories
100
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0g
0%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
219.9mg
10%
Amount/Serving
%DV*
Tot. Carb.
23g
7%
Dietary Fiber
1g
3%
Sugars
2g
Includes
0g Added Sugars
0%
Protein
2g
Vitamin D
-
mcg - 0%
Calcium
-
129.9mg - 13%
Iron
-
9mg - 112%
Potassium
-
0mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,BBQ Sauce Dispenser,https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=151620*1,,BBQ Sauce Dispenser,"Nutrition Facts
Serving Size
1 OZ
Calories
33
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0g
0%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
375.8mg
16%
Amount/Serving
%DV*
Tot. Carb.
7.5g
2%
Dietary Fiber
0.4g
1%
Sugars
5.8g
Includes
0g Added Sugars
0%
Protein
0g
Vitamin D
-
mcg - 0%
Calcium
-
12.5mg - 1%
Iron
-
0.3mg - 4%
Potassium
-
mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,Honey Mustard Dispenser,https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=151622*1,,Honey Mustard Dispenser,"Nutrition Facts
Serving Size
1 OZ
Calories
122
Calories from Fat
5.1
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
10.8g
17%
Sat. Fat
1.6g
- - -%
Trans Fat
0.2g
Cholesterol
11.4mg
- - -%
Sodium
137.4mg
6%
Amount/Serving
%DV*
Tot. Carb.
5.7g
2%
Dietary Fiber
0.1g
0%
Sugars
5.2g
Includes
5.1g Added Sugars
0%
Protein
0.4g
Vitamin D
-
0.1mcg - 0%
Calcium
-
4.3mg - 0%
Iron
-
0.1mg - 2%
Potassium
-
8.2mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,Ketchup Dispenser,https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=151617*1,,Ketchup Dispenser,"Nutrition Facts
Serving Size
1 OZ
Calories
33
Calories from Fat
6.7
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0g
0%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
267.3mg
12%
Amount/Serving
%DV*
Tot. Carb.
8.4g
3%
Dietary Fiber
0g
0%
Sugars
6.7g
Includes
6.7g Added Sugars
0%
Protein
0g
Vitamin D
-
mcg - 0%
Calcium
-
0mg - 0%
Iron
-
0mg - 0%
Potassium
-
mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,Mayo Dispenser,https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=151618*1,,Mayo Dispenser,"Nutrition Facts
Serving Size
1 OZ
Calories
189
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
20.8g
32%
Sat. Fat
3.8g
- - -%
Trans Fat
0g
Cholesterol
18.9mg
- - -%
Sodium
160.9mg
7%
Amount/Serving
%DV*
Tot. Carb.
0g
0%
Dietary Fiber
0g
0%
Sugars
0g
Includes
0g Added Sugars
0%
Protein
0g
Vitamin D
-
mcg - 0%
Calcium
-
0mg - 0%
Iron
-
0mg - 0%
Potassium
-
0mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,Ranch Dispenser,https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=151621*1,,Ranch Dispenser,"Nutrition Facts
Serving Size
1 OZ
Calories
115
Calories from Fat
1.1
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
11.6g
18%
Sat. Fat
1.8g
- - -%
Trans Fat
0.2g
Cholesterol
9.8mg
- - -%
Sodium
240.1mg
10%
Amount/Serving
%DV*
Tot. Carb.
2.2g
1%
Dietary Fiber
0.1g
0%
Sugars
1.2g
Includes
1.1g Added Sugars
0%
Protein
0.2g
Vitamin D
-
0.1mcg - 0%
Calcium
-
4.8mg - 0%
Iron
-
0.1mg - 1%
Potassium
-
10.4mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,Texas Pete Hot Sauce Dispenser,https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=151623*1,,Texas Pete Hot Sauce Dispenser,"Nutrition Facts
Serving Size
1 OZ
Calories
8
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0.1g
0%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
579mg
25%
Amount/Serving
%DV*
Tot. Carb.
1.1g
0%
Dietary Fiber
0.1g
0%
Sugars
0g
Includes
0g Added Sugars
0%
Protein
0.2g
Vitamin D
-
0mcg - 0%
Calcium
-
1.9mg - 0%
Iron
-
0.2mg - 2%
Potassium
-
0mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,Yellow Mustard Dispenser,https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=151619*1,,Yellow Mustard Dispenser,"Nutrition Facts
Serving Size
1 OZ
Calories
0
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0g
0%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
369.1mg
16%
Amount/Serving
%DV*
Tot. Carb.
0g
0%
Dietary Fiber
0g
0%
Sugars
0g
Includes
0g Added Sugars
0%
Protein
0g
Vitamin D
-
mcg - 0%
Calcium
-
0mg - 0%
Iron
-
0mg - 0%
Potassium
-
0mg - 0%",
